,city_name,Year,Pop.,±%
743,Long Beach,1940,164271,15.7%
744,Long Beach,1950,250767,52.7%
745,Long Beach,1960,334168,33.3%
746,Long Beach,1970,358879,7.4%
747,Long Beach,1980,361498,0.7%
748,Long Beach,1990,429433,18.8%
749,Long Beach,2000,461522,7.5%
750,Long Beach,2010,462257,0.2%
751,Virginia Beach,1790,7793,—
752,Virginia Beach,1800,8859,13.7%
753,Virginia Beach,1810,9498,7.2%
754,Virginia Beach,1820,8768,−7.7%
755,Virginia Beach,1830,9102,3.8%
756,Virginia Beach,1840,7285,−20.0%
757,Virginia Beach,1850,7669,5.3%
758,Virginia Beach,1860,7714,0.6%
759,Virginia Beach,1870,8273,7.2%
760,Virginia Beach,1880,9394,13.6%
761,Virginia Beach,1890,9510,1.2%
762,Virginia Beach,1900,11192,17.7%
763,Virginia Beach,1910,11526,3.0%
764,Virginia Beach,1920,13626,18.2%
765,Virginia Beach,1930,16282,19.5%
766,Virginia Beach,1940,19984,22.7%
767,Virginia Beach,1950,42277,111.6%
768,Oakland,1860,1543,—
769,Oakland,1870,10500,580.5%
770,Oakland,1880,34555,229.1%
771,Oakland,1890,48682,40.9%
772,Oakland,1900,66960,37.5%
773,Oakland,1910,150174,124.3%
774,Oakland,1920,216261,44.0%
775,Oakland,1930,284063,31.4%
776,Oakland,1940,302163,6.4%
777,Oakland,1950,384575,27.3%
778,Oakland,1960,367548,−4.4%
779,Oakland,1970,361561,−1.6%
780,Oakland,1980,339337,−6.1%
781,Oakland,1990,372242,9.7%
782,Oakland,2000,399484,7.3%
783,Oakland,2010,390724,−2.2%
784,Minneapolis,1860,5809,—
785,Minneapolis,1870,13066,124.9%
786,Minneapolis,1880,46887,258.8%
787,Minneapolis,1890,164738,251.4%
788,Minneapolis,1900,202718,23.1%
789,Minneapolis,1910,301408,48.7%
790,Minneapolis,1920,380582,26.3%
791,Minneapolis,1930,464356,22.0%
792,Minneapolis,1940,492370,6.0%
793,Minneapolis,1950,521718,6.0%
794,Minneapolis,1960,482872,−7.4%
795,Minneapolis,1970,434400,−10.0%
796,Minneapolis,1980,370951,−14.6%
797,Minneapolis,1990,368383,−0.7%
798,Minneapolis,2000,382618,3.9%
799,Minneapolis,2010,382578,0.0%
800,Tulsa,1900,1390,—
801,Tulsa,1910,18182,"1,208.1%"
802,Tulsa,1920,72075,296.4%
803,Tulsa,1930,141258,96.0%
804,Tulsa,1940,142157,0.6%
805,Tulsa,1950,182740,28.5%
806,Tulsa,1960,261685,43.2%
807,Tulsa,1970,331638,26.7%
808,Tulsa,1980,360919,8.8%
809,Tulsa,1990,367302,1.8%
810,Tulsa,2000,393049,7.0%
811,Tulsa,2010,391906,−0.3%
812,Arlington,1880,163,—
813,Arlington,1890,664,307.4%
814,Arlington,1900,1079,62.5%
815,Arlington,1910,1794,66.3%
816,Arlington,1920,3031,69.0%
817,Arlington,1930,3661,20.8%
818,Arlington,1940,4240,15.8%
819,Arlington,1950,7692,81.4%
820,Arlington,1960,44775,482.1%
821,Arlington,1970,90643,102.4%
822,Arlington,1980,160113,76.6%
823,Arlington,1990,261721,63.5%
824,Arlington,2000,332969,27.2%
825,Arlington,2010,365438,9.8%
826,Tampa,1850,974,—
827,Tampa,1870,796,—
828,Tampa,1880,720,−9.5%
829,Tampa,1890,5532,668.3%
830,Tampa,1900,15839,186.3%
831,Tampa,1910,37782,138.5%
832,Tampa,1920,51608,36.6%
833,Tampa,1930,101161,96.0%
834,Tampa,1940,108391,7.1%
835,Tampa,1950,124681,15.0%
836,Tampa,1960,274970,120.5%
837,Tampa,1970,277714,1.0%
838,Tampa,1980,271523,−2.2%
839,Tampa,1990,280015,3.1%
840,Tampa,2000,303447,8.4%
841,Tampa,2010,335709,10.6%
842,New Orleans,1769,3190,—
843,New Orleans,1785,4980,+56.1%
844,New Orleans,1788,5331,+7.0%
845,New Orleans,1797,8056,+51.1%
846,New Orleans,1810,17242,+114.0%
847,New Orleans,1820,27176,+57.6%
848,New Orleans,1830,46082,+69.6%
849,New Orleans,1840,102193,+121.8%
850,New Orleans,1850,116375,+13.9%
851,New Orleans,1860,168675,+44.9%
852,New Orleans,1870,191418,+13.5%
853,New Orleans,1880,216090,+12.9%
854,New Orleans,1890,242039,+12.0%
855,New Orleans,1900,287104,+18.6%
856,New Orleans,1910,339075,+18.1%
857,New Orleans,1920,387219,+14.2%
858,New Orleans,1930,458762,+18.5%
859,New Orleans,1940,494537,+7.8%
860,New Orleans,1950,570445,+15.3%
861,New Orleans,1960,627525,+10.0%
862,New Orleans,1970,593471,−5.4%
863,New Orleans,1980,557515,−6.1%
864,New Orleans,1990,496938,−10.9%
865,New Orleans,2000,484674,−2.5%
866,New Orleans,2010,343829,−29.1%
867,Wichita,1870,689,—
868,Wichita,1880,4911,612.8%
869,Wichita,1890,23853,385.7%
870,Wichita,1900,24671,3.4%
871,Wichita,1910,52450,112.6%
872,Wichita,1920,72217,37.7%
873,Wichita,1930,111110,53.9%
874,Wichita,1940,114966,3.5%
875,Wichita,1950,168279,46.4%
876,Wichita,1960,254698,51.4%
877,Wichita,1970,276554,8.6%
878,Wichita,1980,279272,1.0%
879,Wichita,1990,304011,8.9%
880,Wichita,2000,344284,13.2%
881,Wichita,2010,382368,11.1%
882,Cleveland,1820,606,—
883,Cleveland,1830,1075,77.4%
884,Cleveland,1840,6071,464.7%
885,Cleveland,1850,17034,180.6%
886,Cleveland,1860,43417,154.9%
887,Cleveland,1870,92829,113.8%
888,Cleveland,1880,160146,72.5%
889,Cleveland,1890,261353,63.2%
890,Cleveland,1900,381768,46.1%
891,Cleveland,1910,560663,46.9%
892,Cleveland,1920,796841,42.1%
893,Cleveland,1930,900429,13.0%
894,Cleveland,1940,878336,−2.5%
895,Cleveland,1950,914808,4.2%
896,Cleveland,1960,876050,−4.2%
897,Cleveland,1970,750903,−14.3%
898,Cleveland,1980,573822,−23.6%
899,Cleveland,1990,505616,−11.9%
900,Cleveland,2000,478403,−5.4%
901,Cleveland,2010,396815,−17.1%
902,Bakersfield,1880,801,—
903,Bakersfield,1890,2626,227.8%
904,Bakersfield,1900,4836,84.2%
905,Bakersfield,1910,12727,163.2%
906,Bakersfield,1920,18638,46.4%
907,Bakersfield,1930,26015,39.6%
908,Bakersfield,1940,29252,12.4%
909,Bakersfield,1950,34784,18.9%
910,Bakersfield,1960,56848,63.4%
911,Bakersfield,1970,69515,22.3%
912,Bakersfield,1980,105611,51.9%
913,Bakersfield,1990,174820,65.5%
914,Bakersfield,2000,247057,41.3%
915,Bakersfield,2010,347483,40.6%
916,Aurora,1900,202,—
917,Aurora,1910,679,236.1%
918,Aurora,1920,983,44.8%
919,Aurora,1930,2295,133.5%
920,Aurora,1940,3437,49.8%
921,Aurora,1950,11421,232.3%
922,Aurora,1960,48548,325.1%
923,Aurora,1970,74974,54.4%
924,Aurora,1980,158588,111.5%
925,Aurora,1990,222103,40.1%
926,Aurora,2000,276393,24.4%
927,Aurora,2010,325078,17.6%
928,Honolulu,1890,22907,—
929,Honolulu,1900,39306,71.6%
930,Honolulu,1910,52183,32.8%
931,Honolulu,1920,83327,59.7%
932,Honolulu,1930,137582,65.1%
933,Honolulu,1940,179326,30.3%
934,Honolulu,1950,248034,38.3%
935,Honolulu,1960,294194,18.6%
936,Honolulu,1970,324871,10.4%
937,Honolulu,1980,365048,12.4%
938,Honolulu,1990,365272,0.1%
939,Honolulu,2000,371657,1.7%
940,Santa Ana,1880,711,—
941,Santa Ana,1890,3628,410.3%
942,Santa Ana,1900,4933,36.0%
943,Santa Ana,1910,8429,70.9%
944,Santa Ana,1920,15485,83.7%
945,Santa Ana,1930,30322,95.8%
946,Santa Ana,1940,31921,5.3%
947,Santa Ana,1950,45533,42.6%
948,Santa Ana,1960,100350,120.4%
949,Santa Ana,1970,155710,55.2%
950,Santa Ana,1980,204023,31.0%
951,Santa Ana,1990,293742,44.0%
952,Santa Ana,2000,337977,15.1%
953,Santa Ana,2010,324528,−4.0%
954,Riverside,1890,4683,—
955,Riverside,1900,7973,70.3%
956,Riverside,1910,15212,90.8%
957,Riverside,1920,19341,27.1%
958,Riverside,1930,29696,53.5%
959,Riverside,1940,34696,16.8%
960,Riverside,1950,46764,34.8%
961,Riverside,1960,84332,80.3%
962,Riverside,1970,140089,66.1%
963,Riverside,1980,170591,21.8%
964,Riverside,1990,226505,32.8%
965,Riverside,2000,255166,12.7%
966,Riverside,2010,303871,19.1%
967,Corpus Christi,1860,175,—
968,Corpus Christi,1870,2140,"1,122.9%"
969,Corpus Christi,1880,3257,52.2%
970,Corpus Christi,1890,4387,34.7%
971,Corpus Christi,1900,4703,7.2%
972,Corpus Christi,1910,8222,74.8%
973,Corpus Christi,1920,10522,28.0%
974,Corpus Christi,1930,27741,163.6%
975,Corpus Christi,1940,57301,106.6%
976,Corpus Christi,1950,108287,89.0%
977,Corpus Christi,1960,167690,54.9%
978,Corpus Christi,1970,204525,22.0%
979,Corpus Christi,1980,231999,13.4%
980,Corpus Christi,1990,257453,11.0%
981,Corpus Christi,2000,277454,7.8%
982,Corpus Christi,2010,305215,10.0%
983,Lexington,1790,834,—
984,Lexington,1800,1795,115.2%
985,Lexington,1810,4326,141.0%
986,Lexington,1820,5270,21.8%
987,Lexington,1830,6026,14.3%
988,Lexington,1840,6997,16.1%
989,Lexington,1850,8159,16.6%
990,Lexington,1860,9321,14.2%
991,Lexington,1870,14801,58.8%
992,Lexington,1880,16656,12.5%
993,Lexington,1890,21567,29.5%
994,Lexington,1900,26369,22.3%
995,Lexington,1910,35099,33.1%
996,Lexington,1920,41534,18.3%
997,Lexington,1930,45736,10.1%
998,Lexington,1940,49304,7.8%
999,Lexington,1950,55534,12.6%
1000,Lexington,1960,62810,13.1%
1001,Lexington,1970,108137,72.2%
1002,Lexington,1980,204165,88.8%
1003,Lexington,1990,225366,10.4%
1004,Lexington,2000,260512,15.6%
1005,Lexington,2010,295803,13.5%
1006,Stockton,1860,3679,—
1007,Stockton,1870,10066,173.6%
1008,Stockton,1880,10282,2.1%
1009,Stockton,1890,14424,40.3%
1010,Stockton,1900,17506,21.4%
1011,Stockton,1910,23253,32.8%
1012,Stockton,1920,40296,73.3%
1013,Stockton,1930,47963,19.0%
1014,Stockton,1940,54714,14.1%
1015,Stockton,1950,70853,29.5%
1016,Stockton,1960,86321,21.8%
1017,Stockton,1970,109963,27.4%
1018,Stockton,1980,148283,34.8%
1019,Stockton,1990,210943,42.3%
1020,Stockton,2000,243771,15.6%
1021,Stockton,2010,291707,19.7%
1022,Henderson,1950,3643,—
1023,Henderson,1960,12525,243.8%
1024,Henderson,1970,16395,30.9%
1025,Henderson,1980,24363,48.6%
1026,Henderson,1990,64942,166.6%
1027,Henderson,2000,175381,170.1%
1028,Henderson,2010,257729,47.0%
1029,Saint Paul,1850,1112,—
1030,Saint Paul,1860,10401,835.3%
1031,Saint Paul,1870,20030,92.6%
1032,Saint Paul,1880,41473,107.1%
1033,Saint Paul,1890,133156,221.1%
1034,Saint Paul,1900,163065,22.5%
1035,Saint Paul,1910,214744,31.7%
1036,Saint Paul,1920,234698,9.3%
1037,Saint Paul,1930,271606,15.7%
1038,Saint Paul,1940,287736,5.9%
1039,Saint Paul,1950,311349,8.2%
1040,Saint Paul,1960,313411,0.7%
1041,Saint Paul,1970,309980,−1.1%
1042,Saint Paul,1980,270230,−12.8%
1043,Saint Paul,1990,272235,0.7%
1044,Saint Paul,2000,287151,5.5%
1045,Saint Paul,2010,285068,−0.7%
1046,St. Louis,1810,1600,—
1047,St. Louis,1830,4977,—
1048,St. Louis,1840,16469,230.9%
1049,St. Louis,1850,77860,372.8%
1050,St. Louis,1860,160773,106.5%
1051,St. Louis,1870,310864,93.4%
1052,St. Louis,1880,350518,12.8%
1053,St. Louis,1890,451770,28.9%
1054,St. Louis,1900,575238,27.3%
1055,St. Louis,1910,687029,19.4%
1056,St. Louis,1920,772897,12.5%
1057,St. Louis,1930,821960,6.3%
1058,St. Louis,1940,816048,−0.7%
1059,St. Louis,1950,856796,5.0%
1060,St. Louis,1960,750026,−12.5%
1061,St. Louis,1970,622236,−17.0%
1062,St. Louis,1980,453805,−27.1%
1063,St. Louis,1990,396685,−12.6%
1064,St. Louis,2000,348189,−12.2%
1065,St. Louis,2010,319294,−8.3%
1066,Cincinnati,1800,850,—
1067,Cincinnati,1810,2540,198.8%
1068,Cincinnati,1820,9642,279.6%
1069,Cincinnati,1830,24831,157.5%
1070,Cincinnati,1840,46338,86.6%
1071,Cincinnati,1850,115435,149.1%
1072,Cincinnati,1860,161044,39.5%
1073,Cincinnati,1870,216239,34.3%
1074,Cincinnati,1880,255139,18.0%
1075,Cincinnati,1890,296908,16.4%
1076,Cincinnati,1900,325902,9.8%
1077,Cincinnati,1910,363591,11.6%
1078,Cincinnati,1920,401247,10.4%
1079,Cincinnati,1930,451160,12.4%
1080,Cincinnati,1940,455610,1.0%
1081,Cincinnati,1950,503998,10.6%
1082,Cincinnati,1960,502550,−0.3%
1083,Cincinnati,1970,452525,−10.0%
1084,Cincinnati,1980,385460,−14.8%
1085,Cincinnati,1990,364040,−5.6%
1086,Cincinnati,2000,331285,−9.0%
1087,Cincinnati,2010,296945,−10.4%
1088,Pittsburgh,1760,149,—
1089,Pittsburgh,1761,332,+122.8%
1090,Pittsburgh,1796,1395,+320.2%
1091,Pittsburgh,1800,1565,+12.2%
1092,Pittsburgh,1810,4768,+204.7%
1093,Pittsburgh,1820,7248,+52.0%
1094,Pittsburgh,1830,12568,+73.4%
1095,Pittsburgh,1840,21115,+68.0%
1096,Pittsburgh,1850,46601,+120.7%
1097,Pittsburgh,1860,49221,+5.6%
1098,Pittsburgh,1870,86076,+74.9%
1099,Pittsburgh,1880,156389,+81.7%
1100,Pittsburgh,1890,238617,+52.6%
1101,Pittsburgh,1900,321616,+34.8%
1102,Pittsburgh,1910,533905,+66.0%
1103,Pittsburgh,1920,588343,+10.2%
1104,Pittsburgh,1930,669817,+13.8%
1105,Pittsburgh,1940,671659,+0.3%
1106,Pittsburgh,1950,676806,+0.8%
1107,Pittsburgh,1960,604332,−10.7%
1108,Pittsburgh,1970,520117,−13.9%
1109,Pittsburgh,1980,423938,−18.5%
1110,Pittsburgh,1990,369879,−12.8%
1111,Pittsburgh,2000,334563,−9.5%
1112,Pittsburgh,2010,305704,−8.6%
1113,Greensboro,1870,497,—
1114,Greensboro,1880,2105,323.5%
1115,Greensboro,1890,3317,57.6%
1116,Greensboro,1900,10035,202.5%
1117,Greensboro,1910,15895,58.4%
1118,Greensboro,1920,19861,25.0%
1119,Greensboro,1930,53569,169.7%
1120,Greensboro,1940,59319,10.7%
1121,Greensboro,1950,74389,25.4%
1122,Greensboro,1960,119574,60.7%
1123,Greensboro,1970,144076,20.5%
1124,Greensboro,1980,155642,8.0%
1125,Greensboro,1990,183894,18.2%
1126,Greensboro,2000,223891,21.8%
1127,Greensboro,2010,269666,20.4%
1128,Anchorage,1920,1856,—
1129,Anchorage,1930,2277,22.7%
1130,Anchorage,1940,3495,53.5%
1131,Anchorage,1950,11254,222.0%
1132,Anchorage,1960,44397,294.5%
1133,Anchorage,1970,48081,8.3%
1134,Anchorage,1980,174431,262.8%
1135,Anchorage,1990,226338,29.8%
1136,Anchorage,2000,260283,15.0%
1137,Anchorage,2010,291826,12.1%
1138,Plano,1870,155,—
1139,Plano,1880,556,258.7%
1140,Plano,1890,842,51.4%
1141,Plano,1900,1304,54.9%
1142,Plano,1910,1258,−3.5%
1143,Plano,1920,1715,36.3%
1144,Plano,1930,1554,−9.4%
1145,Plano,1940,1582,1.8%
1146,Plano,1950,2126,34.4%
1147,Plano,1960,3695,73.8%
1148,Plano,1970,17872,383.7%
1149,Plano,1980,72331,304.7%
1150,Plano,1990,128713,77.9%
1151,Plano,2000,222030,72.5%
1152,Plano,2010,259841,17.0%
1153,Lincoln,1870,2441,—
1154,Lincoln,1880,13003,432.7%
1155,Lincoln,1890,55164,324.2%
1156,Lincoln,1900,40169,−27.2%
1157,Lincoln,1910,43973,9.5%
1158,Lincoln,1920,54948,25.0%
1159,Lincoln,1930,75933,38.2%
1160,Lincoln,1940,81984,8.0%
1161,Lincoln,1950,98884,20.6%
1162,Lincoln,1960,128521,30.0%
1163,Lincoln,1970,149518,16.3%
1164,Lincoln,1980,171932,15.0%
1165,Lincoln,1990,191972,11.7%
1166,Lincoln,2000,225581,17.5%
1167,Lincoln,2010,258379,14.5%
1168,Orlando,1890,2856,—
1169,Orlando,1895,2993,+4.8%
1170,Orlando,1900,2481,−17.1%
1171,Orlando,1905,3205,+29.2%
1172,Orlando,1910,3894,+21.5%
1173,Orlando,1915,6448,+65.6%
1174,Orlando,1920,9282,+44.0%
1175,Orlando,1925,22255,+139.8%
1176,Orlando,1930,27330,+22.8%
1177,Orlando,1935,30481,+11.5%
1178,Orlando,1940,36736,+20.5%
1179,Orlando,1945,50105,+36.4%
1180,Orlando,1950,52367,+4.5%
1181,Orlando,1960,88135,+68.3%
1182,Orlando,1970,99006,+12.3%
1183,Orlando,1980,128251,+29.5%
1184,Orlando,1990,164693,+28.4%
1185,Orlando,2000,185951,+12.9%
1186,Orlando,2010,238300,+28.2%
1187,Irvine,1970,10081,—
1188,Irvine,1980,62127,516.3%
1189,Irvine,1990,110330,77.6%
1190,Irvine,2000,143072,29.7%
1191,Irvine,2010,212375,48.4%
1192,Toledo,1840,1222,—
1193,Toledo,1850,3829,213.3%
1194,Toledo,1860,13768,259.6%
1195,Toledo,1870,31584,129.4%
1196,Toledo,1880,50137,58.7%
1197,Toledo,1890,81434,62.4%
1198,Toledo,1900,131822,61.9%
1199,Toledo,1910,168497,27.8%
1200,Toledo,1920,243164,44.3%
1201,Toledo,1930,290718,19.6%
1202,Toledo,1940,282349,−2.9%
1203,Toledo,1950,303616,7.5%
1204,Toledo,1960,318003,4.7%
1205,Toledo,1970,383818,20.7%
1206,Toledo,1980,354635,−7.6%
1207,Toledo,1990,332943,−6.1%
1208,Toledo,2000,313619,−5.8%
1209,Toledo,2010,287208,−8.4%
1210,Durham,1880,2041,—
1211,Durham,1890,5485,168.7%
1212,Durham,1900,6679,21.8%
1213,Durham,1910,18241,173.1%
1214,Durham,1920,21719,19.1%
1215,Durham,1930,52037,139.6%
1216,Durham,1940,60195,15.7%
1217,Durham,1950,71311,18.5%
1218,Durham,1960,78302,9.8%
1219,Durham,1970,95438,21.9%
1220,Durham,1980,101149,6.0%
1221,Durham,1990,136611,35.1%
1222,Durham,2000,187035,36.9%
1223,Durham,2010,228330,22.1%
1224,Chula Vista,1920,1718,—
1225,Chula Vista,1930,3869,125.2%
1226,Chula Vista,1940,5138,32.8%
1227,Chula Vista,1950,15927,210.0%
1228,Chula Vista,1960,42034,163.9%
1229,Chula Vista,1970,67901,61.5%
1230,Chula Vista,1980,83927,23.6%
1231,Chula Vista,1990,135163,61.0%
1232,Chula Vista,2000,173556,28.4%
1233,Chula Vista,2010,243916,40.5%
1234,Fort Wayne,1850,4282,—
1235,Fort Wayne,1860,10388,142.6%
1236,Fort Wayne,1870,17718,70.6%
1237,Fort Wayne,1880,26880,51.7%
1238,Fort Wayne,1890,35393,31.7%
1239,Fort Wayne,1900,45115,27.5%
1240,Fort Wayne,1910,63933,41.7%
1241,Fort Wayne,1920,86549,35.4%
1242,Fort Wayne,1930,114946,32.8%
1243,Fort Wayne,1940,118410,3.0%
1244,Fort Wayne,1950,133607,12.8%
1245,Fort Wayne,1960,161776,21.1%
1246,Fort Wayne,1970,178269,10.2%
1247,Fort Wayne,1980,172196,−3.4%
1248,Fort Wayne,1990,173072,0.5%
1249,Fort Wayne,2000,205727,18.9%
1250,Fort Wayne,2010,253691,23.3%
1251,Jersey City,1840,3072,—
1252,Jersey City,1850,6856,123.2%
1253,Jersey City,1860,29226,326.3%
1254,Jersey City,1870,82546,182.4%
1255,Jersey City,1880,120722,46.2%
1256,Jersey City,1890,163003,35.0%
1257,Jersey City,1900,206433,26.6%
1258,Jersey City,1910,267779,29.7%
1259,Jersey City,1920,298103,11.3%
1260,Jersey City,1930,316715,6.2%
1261,Jersey City,1940,301173,−4.9%
1262,Jersey City,1950,299017,−0.7%
1263,Jersey City,1960,276101,−7.7%
1264,Jersey City,1970,260350,−5.7%
1265,Jersey City,1980,223532,−14.1%
1266,Jersey City,1990,228537,2.2%
1267,Jersey City,2000,240055,5.0%
1268,Jersey City,2010,247597,3.1%
1269,St. Petersburg,1890,273,—
1270,St. Petersburg,1900,1575,476.9%
1271,St. Petersburg,1910,4127,162.0%
1272,St. Petersburg,1920,14237,245.0%
1273,St. Petersburg,1930,40425,183.9%
1274,St. Petersburg,1940,60812,50.4%
1275,St. Petersburg,1950,96738,59.1%
1276,St. Petersburg,1960,181298,87.4%
1277,St. Petersburg,1970,216159,19.2%
1278,St. Petersburg,1980,238647,10.4%
1279,St. Petersburg,1990,238629,0.0%
1280,St. Petersburg,2000,248232,4.0%
1281,St. Petersburg,2010,244769,−1.4%
1282,Laredo,1757,85,—
1283,Laredo,1770,185,+117.6%
1284,Laredo,1790,708,+282.7%
1285,Laredo,1820,1430,+102.0%
1286,Laredo,1830,2052,+43.5%
1287,Laredo,1860,1256,−38.8%
1288,Laredo,1870,2046,+62.9%
1289,Laredo,1880,3521,+72.1%
1290,Laredo,1890,11319,+221.5%
1291,Laredo,1900,13429,+18.6%
1292,Laredo,1910,14855,+10.6%
1293,Laredo,1920,22710,+52.9%
1294,Laredo,1930,32618,+43.6%
1295,Laredo,1940,39274,+20.4%
1296,Laredo,1950,51910,+32.2%
1297,Laredo,1960,60678,+16.9%
1298,Laredo,1970,69678,+14.8%
1299,Laredo,1980,91449,+31.2%
1300,Laredo,1990,122899,+34.4%
1301,Laredo,2000,176576,+43.7%
1302,Laredo,2010,236091,+33.7%
1303,Madison,1840,172,—
1304,Madison,1850,1525,786.6%
1305,Madison,1860,6611,333.5%
1306,Madison,1870,9176,38.8%
1307,Madison,1880,10324,12.5%
1308,Madison,1890,13426,30.0%
1309,Madison,1900,19164,42.7%
1310,Madison,1910,25531,33.2%
1311,Madison,1920,38378,50.3%
1312,Madison,1930,57899,50.9%
1313,Madison,1940,67447,16.5%
1314,Madison,1950,96056,42.4%
1315,Madison,1960,126706,31.9%
1316,Madison,1970,171809,35.6%
1317,Madison,1980,170616,−0.7%
1318,Madison,1990,191262,12.1%
1319,Madison,2000,208054,8.8%
1320,Madison,2010,233209,12.1%
1321,Chandler,1930,1378,—
1322,Chandler,1940,1239,−10.1%
1323,Chandler,1950,3799,206.6%
1324,Chandler,1960,9531,150.9%
1325,Chandler,1970,13763,44.4%
1326,Chandler,1980,29673,115.6%
1327,Chandler,1990,89862,202.8%
1328,Chandler,2000,176581,96.5%
1329,Chandler,2010,236123,33.7%
1330,Buffalo,1810,1508,—
1331,Buffalo,1820,2095,38.9%
1332,Buffalo,1830,8668,313.7%
1333,Buffalo,1840,18213,110.1%
1334,Buffalo,1850,42261,132.0%
1335,Buffalo,1860,81129,92.0%
1336,Buffalo,1870,117714,45.1%
1337,Buffalo,1880,155134,31.8%
1338,Buffalo,1890,255664,64.8%
1339,Buffalo,1900,352387,37.8%
1340,Buffalo,1910,423715,20.2%
1341,Buffalo,1920,506775,19.6%
1342,Buffalo,1930,573076,13.1%
1343,Buffalo,1940,575901,0.5%
1344,Buffalo,1950,580132,0.7%
1345,Buffalo,1960,532759,−8.2%
1346,Buffalo,1970,462768,−13.1%
1347,Buffalo,1980,357870,−22.7%
1348,Buffalo,1990,328123,−8.3%
1349,Buffalo,2000,292648,−10.8%
1350,Buffalo,2010,261310,−10.7%
1351,Lubbock,1910,1938,—
1352,Lubbock,1920,4051,109.0%
1353,Lubbock,1930,20520,406.5%
1354,Lubbock,1940,31853,55.2%
1355,Lubbock,1950,71747,125.2%
1356,Lubbock,1960,128691,79.4%
1357,Lubbock,1970,149101,15.9%
1358,Lubbock,1980,173979,16.7%
1359,Lubbock,1990,186206,7.0%
1360,Lubbock,2000,199564,7.2%
1361,Lubbock,2010,229573,15.0%
1362,Scottsdale,1920,1047,—
1363,Scottsdale,1930,2761,163.7%
1364,Scottsdale,1950,2032,—
1365,Scottsdale,1960,10026,393.4%
1366,Scottsdale,1970,67823,576.5%
1367,Scottsdale,1980,88622,30.7%
1368,Scottsdale,1990,130075,46.8%
1369,Scottsdale,2000,202705,55.8%
1370,Scottsdale,2010,217385,7.2%
1371,Reno,1860,1035,—
1372,Reno,1870,1035,0.0%
1373,Reno,1880,1362,31.6%
1374,Reno,1890,3563,161.6%
1375,Reno,1900,4500,26.3%
1376,Reno,1910,10867,141.5%
1377,Reno,1920,12016,10.6%
1378,Reno,1930,18529,54.2%
1379,Reno,1940,21317,15.0%
1380,Reno,1950,32497,52.4%
1381,Reno,1960,51470,58.4%
1382,Reno,1970,72863,41.6%
1383,Reno,1980,100756,38.3%
1384,Reno,1990,133850,32.8%
1385,Reno,2000,180480,34.8%
1386,Reno,2010,225221,24.8%
1387,Glendale,1910,1000,—
1388,Glendale,1920,2737,173.7%
1389,Glendale,1930,3665,33.9%
1390,Glendale,1940,4855,32.5%
1391,Glendale,1950,8179,68.5%
1392,Glendale,1960,15893,94.3%
1393,Glendale,1970,36228,127.9%
1394,Glendale,1980,97172,168.2%
1395,Glendale,1990,147864,52.2%
1396,Glendale,2000,218812,48.0%
1397,Glendale,2010,226721,3.6%
1398,Gilbert,1920,865,—
1399,Gilbert,1930,791,−8.6%
1400,Gilbert,1940,837,5.8%
1401,Gilbert,1950,1114,33.1%
1402,Gilbert,1960,1833,64.5%
1403,Gilbert,1970,1971,7.5%
1404,Gilbert,1980,5717,190.1%
1405,Gilbert,1990,29188,410.5%
1406,Gilbert,2000,109697,275.8%
1407,Gilbert,2010,208453,90.0%
1408,Winston–Salem,1870,443,—
1409,Winston–Salem,1880,4194,846.7%
1410,Winston–Salem,1890,10729,155.8%
1411,Winston–Salem,1900,13650,27.2%
1412,Winston–Salem,1910,22700,66.3%
1413,Winston–Salem,1920,48395,113.2%
1414,Winston–Salem,1930,75274,55.5%
1415,Winston–Salem,1940,79815,6.0%
1416,Winston–Salem,1950,87881,10.1%
1417,Winston–Salem,1960,111135,26.5%
1418,Winston–Salem,1970,133683,20.3%
1419,Winston–Salem,1980,131885,−1.3%
1420,Winston–Salem,1990,143485,8.8%
1421,Winston–Salem,2000,185776,29.5%
1422,Winston–Salem,2010,229617,23.6%
1423,North Las Vegas,1940,3875,—
1424,North Las Vegas,1950,3875,0.0%
1425,North Las Vegas,1960,18422,375.4%
1426,North Las Vegas,1970,36216,96.6%
1427,North Las Vegas,1980,42739,18.0%
1428,North Las Vegas,1990,47707,11.6%
1429,North Las Vegas,2000,115488,142.1%
1430,North Las Vegas,2010,216961,87.9%
1431,Norfolk,1790,2959,—
1432,Norfolk,1800,6926,134.1%
1433,Norfolk,1810,9193,32.7%
1434,Norfolk,1820,8478,−7.8%
1435,Norfolk,1830,9814,15.8%
1436,Norfolk,1840,10929,11.4%
1437,Norfolk,1850,14326,31.1%
1438,Norfolk,1860,14620,2.1%
1439,Norfolk,1870,19229,31.5%
1440,Norfolk,1880,21966,14.2%
1441,Norfolk,1890,34871,58.7%
1442,Norfolk,1900,46624,33.7%
1443,Norfolk,1910,67452,44.7%
1444,Norfolk,1920,115777,71.6%
1445,Norfolk,1930,129710,12.0%
1446,Norfolk,1940,144335,11.3%
1447,Norfolk,1950,213513,47.9%
1448,Norfolk,1960,305872,43.3%
1449,Norfolk,1970,307951,0.7%
1450,Norfolk,1980,266979,−13.3%
1451,Norfolk,1990,261229,−2.2%
1452,Norfolk,2000,234403,−10.3%
1453,Norfolk,2010,242803,3.6%
1454,Chesapeake,1790,14524,—
1455,Chesapeake,1800,19419,33.7%
